season,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec,action_state
Monsoon,908,29.8,86,0.87,5,1.33,0
Pre-Monsoon,848,31.0,61,0.23,0,0.83,3
Post-Monsoon,826,21.1,77,0.21,4,1.99,1
Post-Monsoon,457,21.1,81,0.12,18,1.83,0
Monsoon,827,28.3,93,0.99,20,1.55,0
Post-Monsoon,318,23.1,80,0.32,1,2.48,0
Winter,515,20.3,78,0.12,18,2.74,0
Monsoon,283,28.0,86,0.54,7,1.47,0
Monsoon,788,22.9,90,0.9,19,2.08,0
Post-Monsoon,421,25.1,83,0.27,1,0.84,4
Winter,923,13.7,77,0.13,23,2.51,1
Monsoon,661,25.3,92,0.67,10,0.98,0
Monsoon,900,23.4,98,0.55,8,1.19,0
Post-Monsoon,696,28.0,82,0.15,4,2.68,1
Pre-Monsoon,862,28.0,70,0.29,10,2.5,1
Monsoon,543,26.8,92,0.62,3,2.25,0
Monsoon,435,24.0,89,0.54,14,1.81,0
Winter,821,16.4,72,0.14,16,2.3,1
Monsoon,941,29.0,87,0.56,10,1.8,0
Pre-Monsoon,889,27.2,65,0.59,15,1.62,0
Monsoon,741,25.6,87,0.59,7,2.18,0
Pre-Monsoon,553,29.7,82,0.54,7,1.37,0
Post-Monsoon,531,18.2,84,0.19,1,1.96,0
Monsoon,697,23.5,95,0.85,9,1.81,0
Monsoon,438,23.8,97,0.64,18,2.26,0
Winter,885,17.3,72,0.11,22,2.13,1
Post-Monsoon,500,20.1,70,0.18,15,2.58,0
Post-Monsoon,578,25.1,74,0.33,8,2.54,1
Pre-Monsoon,491,30.8,83,0.11,5,1.57,0
Monsoon,917,25.5,85,0.82,12,2.16,0
Monsoon,860,22.2,85,0.93,8,1.17,0
Monsoon,899,23.5,95,0.91,18,2.88,0
Winter,893,13.3,73,0.05,18,2.94,2
Post-Monsoon,318,21.2,83,0.28,1,1.28,0
Monsoon,252,25.6,85,0.54,1,2.18,0
Post-Monsoon,342,20.1,73,0.34,19,2.52,0
Post-Monsoon,690,21.6,81,0.38,21,1.61,0
Winter,443,17.5,79,0.07,16,1.45,0
Monsoon,529,29.2,94,0.92,6,1.13,0
Monsoon,265,22.0,86,0.92,17,2.47,0
Monsoon,747,25.6,94,0.95,15,1.5,0
Pre-Monsoon,852,26.6,76,0.11,16,2.75,1
Monsoon,271,28.1,94,0.6,9,1.51,0
Pre-Monsoon,670,27.0,60,0.58,9,2.95,0
Pre-Monsoon,434,31.9,65,0.19,19,1.76,0
Post-Monsoon,423,19.4,78,0.16,9,1.23,0
Monsoon,254,25.2,98,0.88,12,2.1,0
Monsoon,849,27.8,90,0.99,16,1.27,0
Monsoon,861,26.2,90,0.66,5,1.69,0
Monsoon,312,29.7,87,0.59,6,3.19,0
Monsoon,340,25.3,95,0.61,21,1.97,0
Monsoon,298,29.3,85,0.68,7,1.95,0
Winter,800,21.3,76,0.11,5,2.03,1
Post-Monsoon,374,27.3,76,0.33,14,2.54,0
Post-Monsoon,391,25.3,76,0.17,15,1.85,0
Monsoon,790,29.4,89,1.0,22,1.98,0
Pre-Monsoon,310,29.1,73,0.53,7,1.93,0
Winter,860,19.8,65,0.1,1,1.12,3
Winter,264,17.5,76,0.08,1,2.5,0
Pre-Monsoon,618,29.4,73,0.58,21,1.52,0
Pre-Monsoon,393,30.5,64,0.23,8,1.64,0
Winter,858,19.6,68,0.06,12,1.97,1
Pre-Monsoon,467,28.6,83,0.14,17,2.05,0
Post-Monsoon,589,25.4,85,0.17,22,1.33,1
Winter,599,15.7,78,0.1,3,2.07,1
Pre-Monsoon,544,25.4,78,0.31,10,1.17,0
Post-Monsoon,868,19.4,79,0.17,15,1.5,1
Post-Monsoon,720,18.1,70,0.2,22,1.5,1
Monsoon,402,25.3,86,0.61,3,2.62,0
Post-Monsoon,862,19.0,76,0.35,23,2.52,1
Monsoon,650,28.6,94,0.55,13,0.9,0
Pre-Monsoon,303,27.2,62,0.24,10,2.94,0
Pre-Monsoon,536,26.5,72,0.26,22,1.54,0
Post-Monsoon,422,21.6,72,0.35,22,1.18,4
Monsoon,703,24.6,87,0.69,15,0.95,0
Post-Monsoon,348,26.3,79,0.13,3,1.5,0
Monsoon,813,29.8,94,0.6,12,1.68,0
Post-Monsoon,795,24.9,70,0.15,12,2.0,1
Pre-Monsoon,795,25.2,75,0.19,2,1.05,3
Monsoon,776,26.1,91,0.97,21,1.34,0
Monsoon,564,28.8,85,0.98,5,1.56,0
Pre-Monsoon,591,29.4,74,0.49,9,1.94,0
Pre-Monsoon,534,27.2,79,0.58,2,1.62,0
Monsoon,484,28.7,92,0.94,11,1.41,0
Monsoon,807,29.4,95,0.69,3,1.69,0
Monsoon,846,26.5,96,0.85,15,2.3,0
Winter,840,14.1,69,0.05,19,3.11,2
Monsoon,266,28.7,95,0.69,6,2.09,0
Monsoon,856,25.8,96,0.56,13,1.09,0
Monsoon,711,30.0,93,0.57,20,2.5,0
Post-Monsoon,356,27.4,81,0.34,19,1.1,4
Winter,807,18.3,74,0.02,12,1.94,1
Winter,748,12.7,78,0.14,18,2.66,1
Monsoon,259,23.0,91,0.63,3,2.06,0
Pre-Monsoon,866,26.8,81,0.14,4,2.14,1
Monsoon,302,29.3,97,0.65,16,3.06,0
Monsoon,690,29.9,96,0.95,5,1.3,0
Monsoon,746,27.7,95,0.96,5,2.28,0
Pre-Monsoon,930,27.5,64,0.4,9,1.33,0
Post-Monsoon,500,19.5,84,0.24,9,1.25,0
Winter,505,20.0,72,0.14,4,2.54,0
Monsoon,507,26.1,88,0.69,4,1.45,0
Pre-Monsoon,542,28.9,85,0.38,10,1.57,0
Post-Monsoon,487,18.6,76,0.37,13,1.8,0
Monsoon,306,26.1,96,0.84,6,2.35,0
Monsoon,408,23.4,91,0.81,3,1.32,0
Pre-Monsoon,266,30.4,77,0.19,19,1.25,0
Pre-Monsoon,726,26.4,79,0.21,9,2.15,1
Monsoon,820,26.9,89,0.87,13,2.05,0
Pre-Monsoon,776,30.3,60,0.1,0,1.75,1
Monsoon,290,23.3,86,0.95,19,1.58,0
Winter,397,18.0,66,0.02,10,2.77,0
Monsoon,256,27.1,97,0.93,3,2.01,0
Monsoon,839,23.9,96,0.86,22,1.63,0
Pre-Monsoon,545,29.8,63,0.29,4,2.94,0
Monsoon,307,22.9,97,0.87,16,0.98,0
Pre-Monsoon,325,25.6,80,0.25,22,2.36,0
Monsoon,580,26.0,91,0.83,21,2.9,0
Winter,299,17.1,69,0.11,12,2.0,0
Pre-Monsoon,271,32.5,81,0.13,11,1.81,0
Monsoon,554,23.7,96,0.71,19,2.34,0
Monsoon,570,28.9,93,0.67,17,2.04,0
Monsoon,734,28.9,88,0.6,8,1.43,0
Monsoon,515,29.8,86,0.77,9,1.68,0
Winter,364,12.5,75,0.02,11,0.93,4
Winter,908,12.5,79,0.08,18,1.71,1
Monsoon,410,28.6,96,0.94,1,1.74,0
Pre-Monsoon,272,25.8,74,0.33,4,1.33,0
Pre-Monsoon,748,29.3,65,0.47,2,1.17,0
Winter,374,13.0,79,0.05,15,2.08,0
Winter,734,13.8,72,0.13,13,2.51,1
Post-Monsoon,677,21.1,82,0.25,10,2.46,1
Monsoon,449,25.8,87,0.75,13,2.42,0
Pre-Monsoon,407,31.7,83,0.3,14,2.22,0
Monsoon,916,27.6,91,0.6,6,1.13,0
Monsoon,311,23.3,96,0.68,12,1.98,0
Post-Monsoon,692,25.4,84,0.23,21,2.22,1
Winter,834,16.6,67,0.03,15,2.34,1
Monsoon,711,28.2,91,0.81,2,1.19,0
Monsoon,405,26.7,93,0.5,5,2.63,0
Winter,706,12.1,67,0.08,17,1.92,1
Monsoon,401,23.0,94,0.7,0,1.27,0
Pre-Monsoon,423,29.2,66,0.22,8,1.32,0
Monsoon,287,25.6,91,0.85,12,1.6,0
Monsoon,670,29.8,90,0.93,1,1.42,0
Monsoon,908,27.4,95,0.83,16,2.23,0
Monsoon,716,24.4,90,0.98,4,1.49,0
Pre-Monsoon,774,27.8,69,0.41,0,1.52,0
Monsoon,864,28.3,86,0.63,1,2.08,0
Monsoon,710,29.7,86,0.86,3,1.75,0
Post-Monsoon,532,26.6,84,0.39,3,3.18,0
Monsoon,617,23.5,92,0.87,18,1.96,0
Monsoon,770,25.6,92,0.99,12,2.87,0
Monsoon,490,28.5,88,0.85,11,2.97,0
Monsoon,936,23.3,92,0.57,8,1.65,0
Post-Monsoon,624,25.2,72,0.18,9,2.23,1
Pre-Monsoon,557,32.9,84,0.13,17,2.92,2
Post-Monsoon,805,19.0,72,0.15,1,2.37,1
Pre-Monsoon,849,29.7,71,0.24,20,3.44,2
Pre-Monsoon,334,30.1,61,0.36,12,2.05,0
Pre-Monsoon,551,30.0,72,0.32,17,1.59,1
Pre-Monsoon,490,31.8,72,0.27,13,1.75,0
Monsoon,519,23.5,95,0.61,15,1.89,0
Monsoon,601,22.7,85,0.84,5,1.49,0
Winter,434,16.9,77,0.06,22,3.12,0
Winter,592,13.2,72,0.03,10,1.34,1
Pre-Monsoon,520,27.2,74,0.59,4,1.0,0
Winter,352,17.9,78,0.13,12,1.31,0
Pre-Monsoon,480,30.5,67,0.16,11,1.24,0
Monsoon,718,23.7,86,0.56,15,1.77,0
Monsoon,549,29.3,98,0.85,17,1.8,0
Monsoon,886,25.1,87,0.55,17,2.45,0
Post-Monsoon,501,25.7,77,0.19,14,2.41,0
Winter,310,15.5,74,0.02,17,1.54,0
Winter,475,13.1,78,0.09,5,2.81,0
Monsoon,655,25.9,98,0.65,12,1.98,0
Monsoon,389,29.0,95,0.84,2,1.46,0
Monsoon,380,25.2,86,0.71,2,1.43,0
Pre-Monsoon,712,29.1,71,0.41,5,2.25,0
Post-Monsoon,883,21.4,82,0.1,7,1.42,1
Pre-Monsoon,474,27.1,79,0.55,22,1.22,0
Monsoon,326,26.3,98,0.6,10,0.98,0
Winter,747,14.0,66,0.11,12,2.28,1
Post-Monsoon,950,24.1,75,0.27,11,1.59,1
Post-Monsoon,385,22.7,75,0.32,19,1.41,0
Winter,403,14.8,67,0.06,12,2.0,0
Monsoon,911,24.0,91,0.96,8,2.91,0
Monsoon,723,27.7,96,0.73,6,1.82,0
Post-Monsoon,674,26.4,79,0.24,8,1.66,1
Monsoon,701,22.3,95,0.68,2,3.13,0
Monsoon,931,25.5,87,0.76,6,1.68,0
Monsoon,571,25.2,98,0.81,13,2.16,0
Monsoon,543,29.3,95,0.62,8,2.57,0
Pre-Monsoon,590,32.8,64,0.45,12,2.34,0
Pre-Monsoon,465,28.9,83,0.48,10,1.82,0
Monsoon,814,23.6,91,0.93,12,2.82,0
Monsoon,758,23.5,87,0.53,23,1.96,0
Pre-Monsoon,621,30.7,78,0.19,21,1.96,1
Winter,342,13.6,74,0.0,15,2.02,0
Monsoon,371,24.7,90,0.84,3,2.49,0
Monsoon,270,28.7,95,0.52,15,1.66,0
Monsoon,686,27.3,96,0.77,23,1.32,0
Winter,731,16.9,78,0.12,3,2.25,1
Monsoon,504,24.9,90,0.96,16,3.46,0
Monsoon,569,25.5,93,0.59,3,1.6,0
Pre-Monsoon,262,26.0,69,0.46,18,1.38,0
Monsoon,789,22.3,96,0.98,16,3.28,0
Winter,717,13.5,65,0.1,16,1.62,1
Monsoon,635,23.3,88,0.96,16,1.75,0
Pre-Monsoon,771,26.6,83,0.49,15,1.24,0
Post-Monsoon,368,20.8,73,0.28,2,1.72,0
Post-Monsoon,703,25.5,81,0.2,17,1.79,1
Monsoon,842,28.3,89,0.97,12,1.32,0
Monsoon,271,23.4,88,0.57,4,1.74,0
Pre-Monsoon,839,27.3,67,0.21,14,1.43,1
Monsoon,519,28.2,93,0.54,5,1.89,0
Post-Monsoon,759,24.0,81,0.3,4,1.31,1
Monsoon,471,26.8,86,0.57,20,2.21,0
Monsoon,553,26.9,90,0.97,19,2.13,0
Monsoon,362,29.3,96,0.99,0,1.4,0
Monsoon,737,25.2,90,0.58,16,2.54,0
Post-Monsoon,286,27.7,85,0.38,10,2.95,0
Monsoon,429,29.7,97,0.63,0,1.21,0
Monsoon,375,27.9,97,0.82,0,2.81,0
Post-Monsoon,683,26.7,85,0.2,19,2.36,1
Post-Monsoon,455,20.6,84,0.18,3,1.15,0
Post-Monsoon,600,18.9,82,0.17,10,1.56,1
Monsoon,879,23.3,94,0.82,18,2.27,0
Pre-Monsoon,916,30.2,72,0.34,0,1.48,1
Monsoon,488,25.6,87,0.87,18,2.92,0
Monsoon,850,26.9,96,0.58,14,1.0,0
Monsoon,950,26.0,89,0.87,21,1.58,0
Post-Monsoon,792,18.7,77,0.29,4,1.56,1
Winter,361,18.6,75,0.15,2,1.27,0
Winter,595,16.3,68,0.1,12,2.96,2
Monsoon,809,25.1,97,0.94,15,2.2,0
Winter,521,12.2,78,0.1,14,1.93,0
Post-Monsoon,565,22.4,82,0.22,0,2.01,1
Monsoon,420,28.1,88,0.87,3,2.34,0
Post-Monsoon,314,24.8,77,0.1,2,1.59,0
Winter,250,16.3,67,0.13,22,1.95,0
Monsoon,915,28.6,93,0.78,16,2.25,0
Pre-Monsoon,385,30.9,70,0.58,19,2.2,0
Post-Monsoon,411,23.8,82,0.15,13,1.56,0
Winter,609,17.0,72,0.15,18,1.29,1
Monsoon,807,24.9,91,0.92,15,1.66,0
Monsoon,933,26.5,94,0.64,4,2.27,0
Monsoon,308,22.6,96,0.65,10,1.27,0
Monsoon,341,22.3,98,0.67,5,1.87,0
Winter,524,12.3,78,0.01,0,2.18,0
Monsoon,404,28.8,95,0.83,21,1.97,0
Monsoon,615,28.2,87,0.75,2,1.4,0
Pre-Monsoon,741,27.8,62,0.53,5,2.74,0
Pre-Monsoon,946,32.8,73,0.13,16,2.57,1
Monsoon,795,24.3,90,0.94,7,1.44,0
Monsoon,869,22.2,89,0.95,7,2.26,0
Pre-Monsoon,823,32.1,75,0.23,12,1.34,1
Monsoon,467,27.7,96,0.75,21,2.92,0
Monsoon,313,22.0,97,0.79,5,2.83,0
Pre-Monsoon,600,26.6,64,0.19,2,2.43,1
Pre-Monsoon,875,32.3,65,0.5,0,1.22,0
Winter,456,13.5,73,0.09,6,1.78,0
Monsoon,430,28.0,86,0.57,8,1.46,0
Pre-Monsoon,478,25.3,65,0.21,16,2.08,0
Winter,616,17.6,76,0.01,12,1.19,3
Post-Monsoon,790,26.6,85,0.17,17,1.78,1
Pre-Monsoon,612,31.2,73,0.25,4,2.38,1
Monsoon,537,22.5,96,0.78,19,1.47,0
Post-Monsoon,581,21.7,79,0.16,12,1.25,1
Post-Monsoon,572,24.3,75,0.24,1,2.12,1
Monsoon,279,25.0,86,0.76,19,2.0,0
Post-Monsoon,753,23.6,78,0.22,19,1.25,1
Monsoon,764,24.3,95,0.74,14,2.21,0
Winter,391,19.6,76,0.01,2,2.54,0
Monsoon,562,30.0,97,0.51,4,2.86,0
Pre-Monsoon,760,32.1,81,0.42,7,1.12,0
Monsoon,630,22.1,88,0.53,8,1.72,0
Post-Monsoon,897,20.1,82,0.2,7,1.51,1
Post-Monsoon,504,27.2,72,0.26,18,2.69,0
Post-Monsoon,452,25.9,74,0.32,18,1.11,0
Monsoon,342,22.3,88,0.59,19,2.2,0
Post-Monsoon,361,19.8,76,0.24,20,1.36,0
Winter,906,17.2,77,0.14,5,1.47,1
Monsoon,554,24.4,94,0.72,19,2.7,0
Monsoon,451,28.3,86,0.79,6,1.44,0
Monsoon,583,25.6,97,0.69,17,2.07,0
Pre-Monsoon,429,27.7,85,0.3,13,1.28,0
Monsoon,690,29.4,88,0.55,8,3.01,0
Post-Monsoon,733,23.2,73,0.19,12,1.08,3
Monsoon,786,28.3,85,0.78,18,3.16,0
Monsoon,512,26.7,91,0.59,12,2.29,0
Post-Monsoon,936,24.8,84,0.38,6,1.68,0
Monsoon,471,24.7,89,0.51,10,0.79,0
Monsoon,649,27.1,92,0.61,0,1.52,0
Pre-Monsoon,728,26.7,78,0.22,10,1.59,1
Post-Monsoon,881,26.6,83,0.39,16,1.82,0
Post-Monsoon,273,19.8,77,0.33,21,1.4,0
Pre-Monsoon,315,29.4,80,0.16,8,2.25,0
Monsoon,409,22.8,95,0.55,12,1.51,0
Winter,635,17.8,71,0.01,4,1.54,1
Monsoon,317,29.3,91,0.66,10,1.55,0
Monsoon,556,27.3,98,0.97,0,2.11,0
Winter,494,19.9,66,0.01,10,1.64,0
Monsoon,701,24.4,86,0.85,19,0.82,0
Pre-Monsoon,329,29.0,69,0.21,13,1.39,0
Post-Monsoon,667,23.0,81,0.27,12,2.39,1
Pre-Monsoon,764,32.9,83,0.48,3,1.78,0
Pre-Monsoon,904,30.2,61,0.41,11,2.44,0
Monsoon,736,22.9,92,0.67,11,1.8,0
Pre-Monsoon,719,28.0,77,0.52,21,1.99,0
Monsoon,665,29.7,92,0.79,20,2.92,0
Monsoon,687,23.6,85,0.87,3,0.84,0
Monsoon,550,29.7,86,0.86,19,2.27,0
Post-Monsoon,471,18.4,81,0.18,21,1.54,0
Monsoon,592,27.0,93,0.68,14,1.31,0
Monsoon,469,26.6,94,0.58,9,1.5,0
Monsoon,380,29.1,92,0.74,15,2.73,0
Monsoon,676,24.5,89,0.63,0,2.7,0
Pre-Monsoon,482,32.8,67,0.42,0,2.39,0
Monsoon,585,24.8,97,0.93,10,2.31,0
Winter,379,13.2,67,0.06,3,2.35,0
Monsoon,293,25.5,87,0.58,19,1.6,0
Monsoon,854,28.2,87,0.54,13,2.06,0
Post-Monsoon,661,25.5,77,0.13,22,1.18,3
Winter,746,18.3,72,0.14,11,1.36,1
Monsoon,435,23.0,87,0.71,19,3.04,0
Monsoon,528,26.1,92,0.76,19,2.32,0
Monsoon,770,24.7,87,0.72,12,1.94,0
Pre-Monsoon,263,28.7,68,0.45,0,1.25,0
Winter,680,21.3,69,0.04,6,2.09,1
Post-Monsoon,861,26.5,85,0.1,20,1.46,1
Post-Monsoon,388,25.5,74,0.37,11,2.12,0
Pre-Monsoon,499,29.4,66,0.27,3,1.98,0
Winter,271,16.0,79,0.01,23,2.18,0
Pre-Monsoon,890,27.3,84,0.24,3,1.76,1
Pre-Monsoon,416,32.7,70,0.35,17,1.89,0
Post-Monsoon,636,23.4,85,0.19,2,1.49,1
Winter,696,18.1,66,0.12,15,2.58,1
Monsoon,559,26.0,95,0.8,6,2.32,0
Monsoon,690,22.5,92,0.98,5,2.12,0
Monsoon,461,23.3,89,0.52,6,1.79,0
Monsoon,928,23.5,85,0.75,8,1.84,0
Post-Monsoon,395,24.0,71,0.2,15,1.56,0
Pre-Monsoon,852,26.0,75,0.6,7,1.24,0
Monsoon,322,26.8,97,0.61,3,2.73,0
Pre-Monsoon,347,29.9,82,0.27,6,1.13,4
Monsoon,905,26.8,98,0.64,23,2.66,0
Pre-Monsoon,859,31.1,66,0.47,5,1.82,0
Pre-Monsoon,787,28.0,82,0.51,22,1.71,0
Monsoon,843,28.4,85,0.82,6,3.04,0
Monsoon,625,25.4,89,0.72,18,2.78,0
Post-Monsoon,250,25.6,82,0.27,17,2.2,0
Monsoon,498,28.6,89,0.88,4,2.65,0
Pre-Monsoon,516,28.1,78,0.52,22,1.52,0
Monsoon,631,26.4,90,0.93,8,2.41,0
Monsoon,677,27.2,88,0.85,22,1.19,0
Monsoon,854,22.9,93,0.97,10,1.03,0
Monsoon,392,24.0,89,0.79,22,2.12,0
Monsoon,928,29.7,98,0.96,8,1.25,0
Pre-Monsoon,455,27.1,69,0.55,5,2.76,0
Monsoon,290,29.9,86,0.87,20,1.8,0
Post-Monsoon,438,21.3,72,0.27,8,2.65,0
Monsoon,606,29.0,87,0.67,0,2.08,0
Monsoon,941,25.2,96,0.73,1,1.87,0
Monsoon,368,22.1,92,0.74,15,1.65,0
Monsoon,704,28.5,86,0.73,18,2.89,0
Monsoon,252,27.3,97,0.58,10,2.59,0
Monsoon,442,24.4,88,0.57,2,1.81,0
Pre-Monsoon,447,26.4,81,0.23,18,1.14,4
Pre-Monsoon,548,27.4,69,0.47,12,2.29,0
Monsoon,338,28.5,90,0.52,23,1.14,0
Post-Monsoon,797,18.6,80,0.12,13,1.86,1
Pre-Monsoon,640,27.5,79,0.31,18,2.59,1
Monsoon,811,29.8,88,0.77,10,1.04,0
Pre-Monsoon,266,30.1,69,0.38,23,3.0,0
Pre-Monsoon,929,25.5,83,0.11,20,1.67,1
Pre-Monsoon,357,27.6,81,0.57,4,1.66,0
Monsoon,802,22.7,87,0.95,19,1.87,0
Monsoon,512,29.8,94,0.56,21,1.55,0
Pre-Monsoon,337,26.4,68,0.13,1,1.59,0
Monsoon,374,23.8,93,0.88,0,1.0,0
Post-Monsoon,807,20.7,79,0.15,19,1.74,1
Monsoon,368,27.6,98,0.96,10,1.6,0
Pre-Monsoon,499,25.1,79,0.49,11,1.24,0
Post-Monsoon,276,22.6,78,0.16,1,1.32,0
Winter,912,18.3,69,0.13,3,3.18,2
Pre-Monsoon,404,25.8,76,0.55,17,2.45,0
Monsoon,286,24.1,93,0.72,17,1.67,0
Pre-Monsoon,765,25.1,68,0.56,13,1.55,0
Winter,442,14.5,71,0.04,15,1.65,0
Pre-Monsoon,623,31.4,70,0.38,15,1.7,0
Post-Monsoon,371,21.0,73,0.1,8,2.36,0
Post-Monsoon,719,24.5,73,0.17,11,0.94,3
Monsoon,892,23.0,92,0.78,10,1.94,0
Post-Monsoon,565,23.1,72,0.3,10,2.33,1
Winter,683,16.7,66,0.06,18,1.37,1
Monsoon,683,27.8,87,0.87,3,1.87,0
Monsoon,759,24.3,91,0.89,5,2.57,0
Monsoon,656,22.0,96,0.6,23,2.11,0
Monsoon,405,26.0,96,0.53,16,1.77,0
Monsoon,827,26.2,88,0.73,12,1.33,0
Monsoon,901,29.1,94,0.66,5,2.04,0
Monsoon,467,26.9,92,0.56,1,1.7,0
Monsoon,872,24.1,87,0.91,12,2.01,0
Monsoon,381,28.7,86,0.85,8,1.66,0
Monsoon,580,27.9,88,0.88,12,1.41,0
Monsoon,796,22.4,86,0.52,6,1.5,0
Pre-Monsoon,586,25.3,72,0.36,2,1.15,0
Pre-Monsoon,946,26.0,67,0.36,7,1.71,0
Monsoon,257,27.8,91,0.74,6,2.01,0
Winter,880,20.1,65,0.07,14,1.14,3
Monsoon,273,22.7,97,0.63,18,2.56,0
Monsoon,433,29.7,96,0.82,17,1.51,0
Post-Monsoon,643,18.4,78,0.37,23,1.44,0
Winter,760,14.2,79,0.02,16,2.72,1
Monsoon,273,29.4,93,0.95,4,2.96,0
Pre-Monsoon,339,27.8,69,0.54,8,2.66,0
Post-Monsoon,336,18.2,73,0.27,14,1.55,0
Monsoon,548,25.5,98,0.87,20,2.07,0
Monsoon,365,29.3,87,0.51,2,1.86,0
Monsoon,650,30.0,94,0.58,19,1.75,0
Monsoon,283,29.2,85,0.76,22,1.73,0
Winter,904,17.4,80,0.09,14,1.38,1
Monsoon,298,23.2,89,0.86,11,1.35,0
Pre-Monsoon,944,30.8,84,0.27,1,2.85,2
Post-Monsoon,311,24.8,74,0.13,12,1.38,0
Post-Monsoon,272,21.6,79,0.14,6,1.32,0
Monsoon,667,23.7,95,0.75,22,2.01,0
Monsoon,503,24.7,85,0.69,11,1.68,0
Monsoon,435,24.1,86,0.51,0,2.3,0
Pre-Monsoon,426,26.0,83,0.28,20,2.61,0
Pre-Monsoon,490,27.1,72,0.11,17,1.24,0
Pre-Monsoon,354,28.5,80,0.37,22,1.74,0
Monsoon,386,28.1,88,0.87,8,1.45,0
Monsoon,892,26.7,94,0.93,6,2.08,0
Monsoon,266,24.3,88,0.73,7,2.62,0
Monsoon,301,28.8,96,0.8,7,1.99,0
Winter,794,19.2,69,0.07,15,1.51,1
Post-Monsoon,676,26.3,82,0.14,12,1.25,1
Pre-Monsoon,787,26.7,62,0.52,21,1.0,0
Monsoon,509,24.7,93,0.51,9,2.27,0
Monsoon,938,23.7,95,0.91,3,1.3,0
Post-Monsoon,296,24.0,73,0.31,18,1.95,0
Monsoon,602,25.6,85,0.59,7,1.62,0
Post-Monsoon,776,21.5,70,0.27,23,1.69,1
Monsoon,631,29.9,95,0.7,14,2.11,0
Pre-Monsoon,908,26.4,66,0.18,5,1.19,3
Winter,856,12.5,80,0.07,18,3.37,2
Monsoon,541,27.4,95,0.71,3,1.2,0
Winter,710,15.8,65,0.06,5,2.02,1
Monsoon,808,26.9,86,0.9,23,2.3,0
Post-Monsoon,709,21.2,81,0.23,5,2.74,1
Monsoon,929,25.2,91,0.96,1,1.78,0
Monsoon,728,28.7,96,0.68,4,2.38,0
Monsoon,459,29.7,97,0.5,6,2.35,0
Pre-Monsoon,395,29.6,73,0.59,18,1.66,0
Pre-Monsoon,836,32.7,81,0.43,4,1.04,0
Winter,643,13.4,79,0.08,12,1.66,1
Monsoon,739,22.7,91,0.86,15,1.1,0
Winter,650,19.3,73,0.02,16,2.13,1
Post-Monsoon,723,20.1,75,0.3,19,1.47,1
Monsoon,472,22.8,88,0.91,13,2.39,0
Pre-Monsoon,783,30.5,81,0.17,9,2.65,1
Monsoon,446,27.1,98,0.88,0,1.17,0
Post-Monsoon,460,21.8,77,0.16,12,1.51,0
Pre-Monsoon,918,32.4,77,0.45,23,2.65,0
Post-Monsoon,426,25.0,70,0.19,22,0.84,4
Monsoon,558,23.9,90,0.82,19,0.88,0
Post-Monsoon,699,20.1,72,0.36,22,2.59,0
Winter,552,19.0,65,0.08,11,2.48,1
Monsoon,333,27.4,96,0.98,6,1.83,0
Monsoon,755,26.3,92,0.97,6,1.86,0
Monsoon,758,26.3,93,0.94,0,2.55,0
Winter,406,21.6,76,0.12,1,1.0,4
Pre-Monsoon,559,26.5,75,0.4,6,1.4,0
Post-Monsoon,698,24.8,70,0.19,12,1.5,1
Pre-Monsoon,351,29.7,75,0.15,5,1.84,0
Monsoon,392,22.2,93,0.8,19,3.29,0
Monsoon,367,27.8,89,0.64,13,1.33,0
Monsoon,751,28.1,86,1.0,10,1.33,0
Monsoon,820,24.1,95,0.76,15,1.51,0
Post-Monsoon,660,26.3,77,0.2,13,1.38,1
Monsoon,880,25.2,90,0.54,14,1.53,0
Monsoon,534,23.3,93,0.99,22,1.47,0
Pre-Monsoon,819,26.5,76,0.58,16,1.91,0
Winter,516,15.1,76,0.13,20,1.46,0
Monsoon,295,24.9,93,0.93,0,2.11,0
Monsoon,741,28.2,97,0.61,10,2.42,0
Monsoon,675,29.2,96,0.81,13,1.43,0
Pre-Monsoon,888,30.9,81,0.12,10,1.93,1
Monsoon,829,27.7,97,0.96,12,1.21,0
Winter,780,14.6,72,0.0,19,2.43,1
Post-Monsoon,576,19.3,70,0.25,21,1.54,1
Pre-Monsoon,902,27.4,60,0.58,12,1.54,0
Monsoon,769,23.8,89,0.7,6,1.22,0
Winter,643,15.5,66,0.02,19,2.39,1
Monsoon,560,26.4,91,0.94,7,1.79,0
Monsoon,681,29.4,92,0.71,12,3.12,0
Winter,759,16.6,78,0.05,19,1.75,1
Monsoon,754,29.1,96,0.89,3,2.25,0
Winter,424,15.2,75,0.12,17,3.27,0
Monsoon,378,25.5,91,0.79,3,2.31,0
Monsoon,677,24.1,88,0.86,14,2.17,0
Pre-Monsoon,719,30.3,74,0.38,7,1.82,0
Winter,697,20.0,65,0.12,18,2.4,1
Pre-Monsoon,836,31.8,75,0.46,0,1.57,0
Monsoon,254,23.8,92,0.85,9,1.55,0
Post-Monsoon,488,22.7,79,0.4,6,3.2,0
Monsoon,829,25.5,96,0.55,3,3.07,0
Pre-Monsoon,742,32.5,68,0.4,18,1.48,0
Pre-Monsoon,281,31.6,68,0.52,11,2.39,0
Post-Monsoon,724,18.9,81,0.13,15,3.36,2
Pre-Monsoon,898,32.2,73,0.56,9,1.83,0
Monsoon,730,28.1,98,0.57,15,1.19,0
Monsoon,897,29.9,92,0.83,15,1.44,0
